	Engels	Zweeds
Pasen	Easter	påsk
aanbevelen	recommend	rekommendera
aankomsttijd	time of arrival	ankomsttid
aardewerk	pottery	keramik, lergods
achternaam	surname	efternamn
advies	advice	råd
afdruk	print	kopia
afspreken (ontmoeten)	meet up	avtala
akkoord	Okay	OK
alstublieft (antwoord)	here you are	varsågod
antenne	aerial	antenn
apenstaartje	at(-sign)	snabel-a
artikel	article	artikel
automatisch	automatic	automatisk
avond (s')	(in the) evening	på kvällen
badmeester	pool attendant	badvakt
balie	counter	disk
bang zijn	be afraid	vara rädd
bank (in park)	bench	bänk
bed	bed	säng
beetje, een	a little	lite
bekeuring	fine	böter
beneden, naar	down	nere
beroep	profession	yrke
beter (na ziekte)	recovered	bättre
bezienswaardigheid	place of interest	sevärdhet
bikini	bikini	bikini
blaas	bladder	blåsa
bloeddruk	blood pressure	blodtryck
boeddhistisch	Buddhist	buddistisk
bonbon	chocolate(s)	pralin
borstel	brush	borste
bowlen	bowling	spela bowling
brengen	bring	ta med
bron (opwellend water)	spring	källa
buikpijn	stomach ache	ont i magen
burgemeester	mayor	borgmästare
camera	camera	kamera
cd-rom	CD-ROM	cd-rom
cheque	cheque	check
citroen	lemon	citron
constipatie	constipation	förstoppning
controleren	check	kontrollera, kolla
corresponderen	correspond	korrespondera
dag (hallo)	hello	hej
delicatessenwinkel	delicatessen	delikatessbutik
diarree	diarrhoea	diarré
diepzeeduiken	deep sea diving	djuphavsdykning
dineren	have dinner	äta middag
dompelaar	immersion heater	doppvärmare
dorst hebben	be thirsty	vara törstig
driehoek	triangle	triangel
drinken	drink	dricka
druk (spanning)	pressure	tryck
duizelig	dizzy	yr i huvudet
echtgenote	wife	maka
eerste klas	first class	första klass
elleboog	elbow	armbåge
entreebewijs	admission ticket	inträdesbiljett
evenement	event	evenemang
feest	party	fest
fietspomp	bicycle pump	cykelpump
flauw (eten)	bland	smaklös
flauwekul	rubbish	larv
fooi	tip	dricks
fout (bn)	wrong	felaktig
garderobe	wardrobe	garderob
geboren	born	född
gegevens	information	uppgivter
geld	money	pengar
geneesmiddel	medication	läkemedel
genieten	enjoy	njuta
geschenk	gift	present, gåva
gevarendriehoek	warning triangle	varningstriangel
gezicht	face	ansikte
godsdienst	religion	religion
golfslagbad	wave-pool	bassäng med vågmaskin
grens	border	gräns
groepsreis	package tour	gruppresa
haarlak	hairspray	hårspray
halte	stop	hållplats
handtekening	signature	underskrift, namnteckning
hechting	stitch	stygn
helpen	help	hjälpa
hier	here	här
hoest	cough	hosta
hoeveel?	how much?	hur mycket? / hur många?
hoogteziekte	altitude sickness	höjdsjuka
huilen	cry	gråta
hut (niet op schip)	hut	stuga
identificeren, zich	identify oneself	identifiera sig
inbegrepen	included	inkluderad
ingrediënt	ingredient	ingrediens
insectenbeet	insect bite	insektsbett
invullen	fill in	fylla i
jasje	jacket	jakca
juwelier	jeweller	guldsmed
kalmeringsmiddel	sedative	lugnande medel
kampwinkel	camp shop	campingshop
kassabon	receipt	kvitto
keer	turn	gång
kettingslot	chain lock	kedja med hänglås
kin	chin	haka
klassiek concert	classical concert	klassisk konsert
kleuren-tv	colour tv	färg-tv
kneuzen	bruise	stöta
knoflook	garlic	vitlök
koelbox	cool box	kylväska
koken (eten-)	cook	laga mat
kopie	copy	kopia
kotszakje	sick bag	kräkpåse
krik	jack	domkraft
kunst	art	konst
kwal	jellyfish	manet
lachen	laugh	skratta
langlaufen	cross-country skiing	längdåkning
leeftijd	age	ålder
lens	lens	lins, objektiv
lichaam	body	kropp
liften	hitchhike	lifta
lippenstift	lipstick	läppstift
lotion	lotion	hudkräm
luchtvervuiling	air pollution	luftförorening
maagzweer	ulcer	magsår
maken (repareren)	fix	laga, reparera
mat (foto)	mat	matt
meloen	melon	melon
metronet	underground railway system	tunnelbanenät
minder	less	mindre
mode	fashion	mode
moeilijkheid	difficulty	svårighet
moment	moment	ögonblick
mosterd	mustard	senap
muis	mouse	mus
naam (voornaam)	first name	(för)namn
nagerecht	dessert	efterrätt
navigatiesysteem	navigation system	navigationssystem
netwerk	network	nätverk
nieuwjaarsdag	New Year's Day	nyårsdag
nooit	never	aldrig
ochtends ('s)	in the morning	på morgnarna
olijf	olive	oliv
onderdak	accomodation	husrum
ongeluk	accident	olycka
ontbijt	breakfast	frukost
ontzettend	terribly	förskräcklig
oordruppels	eardrops	örondroppar
opera	opera	opera
oprit	slip road	påfart
ouders	parents	föräldrar
oversteken	cross the road	gå över, korsa
paleis	palace	slott
parasol	parasol	parasoll
pauze	break	paus, rast
permanent (haar)	perm	permanent
perron	platform	perrong, plattform, spår
pijn	pain	ont, smärta, värk
pinnen	draw money from a cash dispenser	ta ut pengar i bankomat
plattegrond	city map	karta
pond	pound	halvt kilo
portier	porter	portier, portvakt
prachtig	splendid	praktfull
programma	programme	program
rat	rat	råtta
rechtstreeks	directly	direkt
regenjas	raincoat	regnrock, regnkappa, regnjacka
reisbureau	travel agency	resebyrå
rem	brake	broms
reserveonderdelen	spare parts	reservdelar
riem	belt	bälte, skärp
